device_name,unit_code,location,series
GPE-HD-802,GPE802,SELATAN,HD 465
GPE-HD-803,GPE803,SELATAN,HD 465
GPE-HD-805,GPE805,SELATAN,HD 465
GPE-HD-806,GPE806,SELATAN,HD 465
GPE-HD-807,GPE807,SELATAN,HD 465
GPE-HD-810,GPE810,SELATAN,HD 465
GPE-HD-813,GPE813,SELATAN,HD 465
GPE-HD-816,GPE816,SELATAN,HD 465
GPE-HD-817,GPE817,SELATAN,HD 465
GPE-HD-819,GPE819,SELATAN,HD 465
GPE-HD-820,GPE820,SELATAN,HD 465
GPE-HD-821,GPE821,SELATAN,HD 465
GPE-HD-822,GPE822,SELATAN,HD 465
GPE-HD-823,GPE823,SELATAN,HD 465
GPE-HD-825,GPE825,SELATAN,HD 465
GPE-HD-826,GPE826,SELATAN,HD 465
GPE-HD-827,GPE827,SELATAN,HD 465
GPE-HD-828,GPE828,SELATAN,HD 465
GPE-HD-829,GPE829,SELATAN,HD 465
GPE-HD-830,GPE830,SELATAN,HD 465
GPE-HD-831,GPE831,SELATAN,HD 465
GPE-HD-832,GPE832,SELATAN,HD 465
GPE-HD-833,GPE833,SELATAN,HD 465
GPE-HD-835,GPE835,SELATAN,HD 465
GPE-HD-836,GPE836,SELATAN,HD 465
GPE-HD-837,GPE837,SELATAN,HD 465
GPE-HD-838,GPE838,SELATAN,HD 465
GPE-HD-839,GPE839,SELATAN,HD 465
GPE-HD-840,GPE840,SELATAN,HD 465
GPE-HD-841,GPE841,SELATAN,HD 465
GPE-HD-842,GPE842,SELATAN,HD 465
GPE-HD-843,GPE843,SELATAN,HD 465
GPE-HD-845,GPE845,SELATAN,HD 465
GPE-HD-846,GPE846,SELATAN,HD 465
GPE-HD-847,GPE847,SELATAN,HD 465
GPE-HD-848,GPE848,SELATAN,HD 465
GPE-HD-850,GPE850,SELATAN,HD 465
GPE-HD-851,GPE851,SELATAN,HD 465
GPE-HD-852,GPE852,SELATAN,HD 465
GPE-HD-853,GPE853,SELATAN,HD 465
GPE-HD-855,GPE855,SELATAN,HD 465
GPE-HD-857,GPE857,SELATAN,HD 465
GPE-LV-890,,,
GPE-LV-891,,,
GPE-LV-892,,,
GPE-LV-910,,,
GPE-WT-836,,,
GPE-WT-855,,,
